06-26_02-39_, Email-Enron.txt, 22%, kc=0.6 ,,,,46.195, SMt, 3.141, 0.615, 1.850
KSS, 1561488221948, facebook_combined.txt, 36%, kc=30 ,,,,10.446, SMt, 0.915, 0.210, 1.883
SS, 1561488248672, facebook_combined.txt, 43%, kc=30 ,,,,9.335, SMt, 0.947, 0.261, 1.690
KSS, 1561488266184, facebook_combined.txt, 27%, kc=40 ,,,,12.417, SMt, 0.870, 0.176, 2.154
SS, 1561488292665, facebook_combined.txt, 34%, kc=40 ,,,,11.112, SMt, 0.908, 0.245, 1.878
KSS, 1561488313538, facebook_combined.txt, 78%, kc=9 ,,,,3.430, SMt, 1.015, 0.446, 1.221
KSS, 1561488357004, facebook_combined.txt, 20%, kc=50 ,,,,13.268, SMt, 0.826, 0.167, 2.360
SS, 1561488383041, facebook_combined.txt, 28%, kc=50 ,,,,12.237, SMt, 0.881, 0.216, 2.015
KSS, 1561488403529, facebook_combined.txt, 78%, kc=9 ,,,,3.430, SMt, 1.015, 0.446, 1.221
SS, 1561488465815, facebook_combined.txt, 25%, kc=55 ,,,,12.587, SMt, 0.868, 0.222, 2.066
SS, 1561488523063, facebook_combined.txt, 23%, kc=60 ,,,,12.922, SMt, 0.854, 0.220, 2.135
KSS, 1561488645824, facebook_combined.txt, 42%, kc=25 ,,,,9.507, SMt, 0.941, 0.238, 1.735
KSS, 1561488662691, facebook_combined.txt, 51%, kc=20 ,,,,8.102, SMt, 0.968, 0.275, 1.578
KSS, 1561488679832, facebook_combined.txt, 63%, kc=15 ,,,,5.474, SMt, 0.997, 0.329, 1.406
SS, 1561488703490, facebook_combined.txt, 22%, kc=62 ,,,,13.218, SMt, 0.847, 0.224, 2.156
KSS, 1561488720798, facebook_combined.txt, 78%, kc=9 ,,,,3.430, SMt, 1.015, 0.446, 1.221
SS, 1561488910924, facebook_combined.txt, 65%, kc=15 ,,,,5.664, SMt, 1.000, 0.381, 1.369
SS, 1561488936098, facebook_combined.txt, 56%, kc=20 ,,,,7.249, SMt, 0.982, 0.313, 1.493
SS, 1561488960054, facebook_combined.txt, 41%, kc=33 ,,,,10.065, SMt, 0.937, 0.256, 1.743


===========




R3, 06-26_02-59_, Email-Enron.txt, 22%, kc=0.6 ,,,,45.905, SMt, 3.153, 0.633, 1.835
R3, 06-26_03-01_, Email-Enron.txt, 16%, kc=0.4 ,,,,43.336, SMt, 3.342, 0.629, 1.912
R3, 06-26_03-01_, Email-Enron.txt, 9%, kc=0.2 ,,,,54.605, SMt, 3.637, 0.596, 2.062
SS, 1561491891386, facebook_combined.txt, 59%, kc=18 ,,,,6.714, SMt, 0.989, 0.335, 1.444
SS, 1561491918695, facebook_combined.txt, 61%, kc=17 ,,,,6.382, SMt, 0.993, 0.352, 1.420
SS, 1561491945466, facebook_combined.txt, 63%, kc=16 ,,,,6.014, SMt, 0.997, 0.359, 1.395
SS, 1561491970729, facebook_combined.txt, 41%, kc=33 ,,,,10.065, SMt, 0.937, 0.256, 1.743
SS, 1561491996332, facebook_combined.txt, 41%, kc=32 ,,,,9.716, SMt, 0.939, 0.256, 1.727
SS, 1561492021933, facebook_combined.txt, 43%, kc=31 ,,,,9.533, SMt, 0.944, 0.256, 1.707
SS, 1561492043428, facebook_combined.txt, 21%, kc=65 ,,,,13.196, SMt, 0.838, 0.225, 2.204
SS, 1561492067157, facebook_combined.txt, 22%, kc=64 ,,,,13.227, SMt, 0.842, 0.221, 2.182
SS, 1561492091074, facebook_combined.txt, 22%, kc=63 ,,,,13.238, SMt, 0.844, 0.222, 2.173
KSS, 1561492107101, facebook_combined.txt, 20%, kc=51 ,,,,13.343, SMt, 0.823, 0.167, 2.373
KSS, 1561492121540, facebook_combined.txt, 20%, kc=50 ,,,,13.268, SMt, 0.826, 0.167, 2.360
KSS, 1561492137581, facebook_combined.txt, 21%, kc=49 ,,,,13.178, SMt, 0.831, 0.166, 2.336
KSS, 1561492155152, facebook_combined.txt, 42%, kc=25 ,,,,9.507, SMt, 0.941, 0.238, 1.735
KSS, 1561492172559, facebook_combined.txt, 41%, kc=26 ,,,,9.639, SMt, 0.937, 0.225, 1.766
KSS, 1561492189684, facebook_combined.txt, 40%, kc=27 ,,,,9.933, SMt, 0.931, 0.223, 1.796
KSS, 1561492207205, facebook_combined.txt, 57%, kc=17 ,,,,6.662, SMt, 0.987, 0.300, 1.480
KSS, 1561492223459, facebook_combined.txt, 59%, kc=16 ,,,,6.090, SMt, 0.991, 0.309, 1.452
KSS, 1561492241899, facebook_combined.txt, 63%, kc=15 ,,,,5.474, SMt, 0.997, 0.329, 1.406
R3, 06-26_07-12_, Gowalla_edges.txt, 29%, kc=0.6 ,,,,180.316, SMt, 0.807, 0.574, 1.423
R3, 06-26_09-40_, Gowalla_edges.txt, 21%, kc=0.4 ,,,,207.437, SMt, 0.869, 0.567, 1.446
R3, 06-26_11-04_, Gowalla_edges.txt, 13%, kc=0.2 ,,,,239.564, SMt, 1.035, 0.590, 1.398


--------------SS, 1561529601628, Email-Enron.txt, 11%, kc=15 ,,,,66.449, SMt, 1.195, 0.083, 4.446
SS, 1561530373957, Email-Enron.txt, 15%, kc=10 ,,,,62.792, SMt, 1.179, 0.107, 3.664
SS, 1561530469058, Email-Enron.txt, 17%, kc=9 ,,,,60.720, SMt, 1.175, 0.118, 3.453
SS, 1561530565141, Email-Enron.txt, 19%, kc=8 ,,,,58.965, SMt, 1.174, 0.125, 3.247
SS, 1561530664186, Email-Enron.txt, 24%, kc=6 ,,,,51.616, SMt, 1.170, 0.154, 2.783
SS, 1561530767175, Email-Enron.txt, 29%, kc=5 ,,,,45.586, SMt, 1.173, 0.170, 2.456
SS, 1561530874178, Email-Enron.txt, 35%, kc=4 ,,,,38.199, SMt, 1.172, 0.193, 2.177
SS, 1561530985869, Email-Enron.txt, 45%, kc=3 ,,,,27.479, SMt, 1.161, 0.227, 1.866
SS, 1561531097463, Email-Enron.txt, 59%, kc=2 ,,,,11.098, SMt, 1.154, 0.277, 1.539
SS, 1561531122167, facebook_combined.txt, 59%, kc=18 ,,,,6.714, SMt, 5.673, 0.083, 3.271
SS, 1561531142979, facebook_combined.txt, 61%, kc=17 ,,,,6.382, SMt, 5.697, 0.087, 3.216
SS, 1561531163990, facebook_combined.txt, 63%, kc=16 ,,,,6.014, SMt, 5.717, 0.089, 3.159
SS, 1561531183882, facebook_combined.txt, 41%, kc=33 ,,,,10.065, SMt, 5.371, 0.063, 3.946
SS, 1561531203950, facebook_combined.txt, 41%, kc=32 ,,,,9.716, SMt, 5.388, 0.064, 3.910
SS, 1561531224139, facebook_combined.txt, 43%, kc=31 ,,,,9.533, SMt, 5.415, 0.064, 3.865
SS, 1561531242357, facebook_combined.txt, 21%, kc=65 ,,,,13.196, SMt, 4.807, 0.056, 4.990
SS, 1561531260526, facebook_combined.txt, 22%, kc=64 ,,,,13.227, SMt, 4.829, 0.055, 4.940
SS, 1561531278748, facebook_combined.txt, 22%, kc=63 ,,,,13.238, SMt, 4.840, 0.055, 4.921



	20f	20e	20g	40f	40e	40g	60f	60e	60g
RN	0.187	0.21	0.192	0.402	0.421	0.386	0.601	0.622	0.582
KSS	2.373	3.175	2.851	1.735	1.951	1.872	1.406	1.556	1.299
SBS	0.306	2.062	1.398	0.369	1.912	1.446	0.464	1.835	1.423
SS	2.204	3.247	2.756	1.743	2.177	2.017	1.42	1.539	1.451
RE	0.199	0.208	0.193	0.401	0.415	0.387	0.595	0.622	0.58
